Time (s),EMG Voltage (V)
1.395,1.285966
1.396,1.297883
1.397,1.308835
1.398,1.309479
1.399,1.33428
1.4,1.353284
1.401,1.372931
1.402,1.428332
1.403,1.474391
1.404,1.516586
1.405,1.546862
1.406,1.565222
1.407,1.581327
1.408,1.593566
1.409,1.557492
1.41,1.502413
1.411,1.47729
1.412,1.444436
1.413,1.40353
1.414,1.349419
1.415,1.300138
1.416,1.287576
1.417,1.295629
1.418,1.312378
1.419,1.347164
1.42,1.372287
1.421,1.373254
1.422,1.380984
1.423,1.394512
1.424,1.407073
1.425,1.418991
1.426,1.427688
1.427,1.438961
1.428,1.442826
1.429,1.448624
1.43,1.454099
1.431,1.454743
1.432,1.459575
1.433,1.463118
1.434,1.468593
1.435,1.481477
1.436,1.493395
1.437,1.508211
1.438,1.536555
1.439,1.564578
1.44,1.602263
1.441,1.66024
1.442,1.72176
1.443,1.755258
1.444,1.77104
1.445,1.742052
1.446,1.668936
1.447,1.590667
1.448,1.528825
1.449,1.513687
1.45,1.504346
1.451,1.473103
1.452,1.438317
1.453,1.438317
1.454,1.439283
1.455,1.442182
1.456,1.454743
1.457,1.480833
1.458,1.520451
1.459,1.55266
1.46,1.576817
1.461,1.590345
1.462,1.593566
1.463,1.587768
1.464,1.586158
1.465,1.588091
1.466,1.571342
1.467,1.550406
1.468,1.530436
1.469,1.502091
1.47,1.495005
1.471,1.48953
1.472,1.487275
1.473,1.489208
1.474,1.505312
1.475,1.517552
1.476,1.536878
1.477,1.539454
1.478,1.543642
1.479,1.525604
1.48,1.496294
1.481,1.481477
1.482,1.461185
1.483,1.440249
1.484,1.411261
1.485,1.40804
1.486,1.411905
1.487,1.407073
1.488,1.393223
1.489,1.392257
1.49,1.402242
1.491,1.407073
1.492,1.42189
1.493,1.440893
1.494,1.454743
1.495,1.465373
1.496,1.467627
1.497,1.474391
1.498,1.479545
1.499,1.487597
1.5,1.492106
1.501,1.502736
1.502,1.511432
1.503,1.525282
1.504,1.542675
1.505,1.57263
1.506,1.612892
1.507,1.657019
1.508,1.692771
1.509,1.741085
1.51,1.760089
1.511,1.749138
1.512,1.723692
1.513,1.69406
1.514,1.664427
1.515,1.618045
1.516,1.583581
1.517,1.563933
1.518,1.543964
1.519,1.514653
1.52,1.505312
1.521,1.493073
1.522,1.48502
1.523,1.502091
1.524,1.519484
1.525,1.544286
1.526,1.57102
1.527,1.590345
1.528,1.614502
1.529,1.633828
1.53,1.638659
1.531,1.634472
1.532,1.643491
1.533,1.659596
1.534,1.661206
1.535,1.663783
1.536,1.653154
1.537,1.651221
1.538,1.630607
1.539,1.600652
1.54,1.569409
1.541,1.557492
1.542,1.557814
1.543,1.549439
1.544,1.543642
1.545,1.542353
1.546,1.536233
